Sample Name,Tc1-42,Tc1-42_1,Tc2-69,Tc2-69_1,Tc2-16,Tc2-16_1,Tc3-57,Tc3-57_1,Tc1-19,Tc1-19_1,Tc3-74,Tc3-74_1,Tc2-86,Tc2-86_1,Tc1-30,Tc1-30_1
TIC07,126.99,126.99,259.28,238.66,217.85,217.85,176.23,176.23,230.56,242.79,160.68,160.68,229.61,229.79,240.79,233.13
TIC 8,125.03,118.03,259.98,246.24,216.83,216.83,176.17,176.17,230.21,230.21,160.55,160.55,229.61,229.61,240.79,229.84
TIC10,117.9,117.9,238.58,234.75,240.39,217.14,176.04,174.08,239.29,230.28,160.55,160.55,230.63,230.63,229.84,229.84
TIC11,126.04,126.04,267.8,238.54,240.05,240.05,176.22,176.22,230.42,230.42,160.68,160.68,226.77,226.51,234.04,229.93
TIC12,124.94,124.94,267.92,238.2,239.92,216.82,176.17,176.17,230.61,230.61,160.67,160.67,230.76,224.5,229.96,229.96
TIC13,124.92,124.92,246.27,238.57,239.96,216.82,172.46,172.46,242.83,230.57,160.67,160.67,224.46,224.73,248,230
TIC14,117.98,117.98,246.38,244.26,239.81,239.81,176.24,172.3,239.62,239.62,160.55,160.55,224.55,224.85,248.09,230.01
TIC15,124.86,124.86,246.29,238.43,217.8,217.8,172.38,176.17,230.51,242.67,159.69,159.69,225.18,224.76,234.4,234.4
TIC16,117.9,117.9,246.36,234.62,216.82,216.82,172.13,176.19,224.27,239.5,160.77,160.77,224.52,224.76,233.05,230.02
DUD01A-B,147.91,147.91,232.42,232.42,225.33,225.33,180.08,184.06,227.56,242.59,162.42,162.42,228,225,240.69,233.97
DUD02A-B,148,148,232.71,232.71,225.25,225.25,180.15,184.17,227.52,242.56,162.24,162.24,227.44,225.63,240.83,234.13
DUD03=4=5=6=7=10=11,124.94,150,265.86,265.86,225.23,216.92,178.04,180.1,230.51,242.48,160.55,162.44,225.71,225.71,240.85,248.22
DUD04,124.97,150,265.75,265.75,225,217,178.07,180.21,230.51,242.56,160.22,162.11,225.68,225.68,240.92,248.16
DUD05,124.82,150.06,265.96,265.96,225.07,216.82,178.04,180.1,230.61,242.67,160.44,162.65,225.67,225.67,240.84,248.27
DUD06,124.46,150.23,265.88,265.88,225.07,216,177.98,180.08,230.62,242.64,160.32,162.27,225.73,225.73,240.95,248.26
DUD07,124.83,150,265.77,265.77,225.32,217.08,178.25,180.28,230.45,242.44,160.66,162.62,225.75,225.75,240.94,248
DUD08A-B,129.07,129.07,224.89,231.64,225.48,225.48,183.98,178.02,242.42,233.25,162.61,162.61,225,225,240.82,240.82
DUD09,127.96,125.87,225,225,225.17,225.17,184.22,178.19,242.29,226.77,162.71,162.71,227.59,226.56,240.97,240.97
DUD10,124.88,150,266.1,266.1,225.35,217.07,178.15,180.19,230.28,242.25,160.22,162.18,225.64,225.64,240.85,248.2
DUD11,124.94,150,265.91,265.91,225.24,216.92,177.97,180.04,230.28,242.49,160.66,162.54,225.67,225.67,240.8,248.07
DUD12,117.98,117.98,267.75,259.96,219.99,216.6,176.11,172.14,230.53,230.53,160,160,226.54,224.52,233.97,230.94
